id,innings,match_no,over,Ball No,batter,bowler,extra_type,batsman_run,extras_run,total_run,non_boundary,iswicket_delivery,player_out,dismisal_kind,fielders_involved,batting_team,,,outcome,over,Ball No,comment,batter,bowler,score,ballnumber,inningno,over
335983,1,1,11,3,Ruturaj Gaikwad,Yash Dayal,NA,6,0,6,0,0,,NA,,,,,6,11,3,"Yash Dayal to Ruturaj Gaikwad, Six,",Ruturaj Gaikwad,Yash Dayal,6,70,1,11.3
335983,1,1,11,4,Ruturaj Gaikwad,Yash Dayal,NA,0,0,0,1,0,,NA,,,,,0,11,4,"Yash Dayal to Ruturaj Gaikwad, no run,",Ruturaj Gaikwad,Yash Dayal,0,71,1,11.4
335983,1,1,11,5,Ruturaj Gaikwad,Yash Dayal,NA,1,0,1,1,0,,NA,,,,,1,11,5,"Yash Dayal to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Yash Dayal,1,72,1,11.5
335983,1,1,11,6,Ambati Rayudu,Yash Dayal,NA,6,0,6,0,0,,NA,,,,,6,11,6,"Yash Dayal to Ambati Rayudu, Six,",Ambati Rayudu,Yash Dayal,6,73,1,11.6
335983,1,1,12,1,Ruturaj Gaikwad,Josh Little,NA,1,0,1,1,0,,NA,,,,,1,12,1,"Josh Little to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Josh Little,1,74,1,12.1
335983,1,1,12,2,Ambati Rayudu,Josh Little,NA,1,0,1,1,0,,NA,,,,,1,12,2,"Josh Little to Ambati Rayudu, 1 run,",Ambati Rayudu,Josh Little,1,75,1,12.2
335983,1,1,12,3,Ruturaj Gaikwad,Josh Little,NA,4,0,4,0,0,,NA,,,,,4,12,3,"Josh Little to Ruturaj Gaikwad, Four,",Ruturaj Gaikwad,Josh Little,4,76,1,12.3
335983,1,1,12,4,Ruturaj Gaikwad,Josh Little,NA,1,0,1,1,0,,NA,,,,,1,12,4,"Josh Little to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Josh Little,1,77,1,12.4
335983,1,1,12,5,Ambati Rayudu,Josh Little,NA,0,0,0,1,1,,bowled,,,,,w,12,5,"Josh Little to Ambati Rayudu, no run,                           Wicket - b Josh Little batsmen out 12(12)",Ambati Rayudu,Josh Little,0,78,1,12.5
335983,1,1,12,6,Shivam Dube,Josh Little,NA,0,0,0,1,0,,NA,,,,,0,12,6,"Josh Little to Shivam Dube, no run,",Shivam Dube,Josh Little,0,79,1,12.6
335983,1,1,13,1,Ruturaj Gaikwad,Alzarri Joseph,NA,1,0,1,1,0,,NA,,,,,1,13,1,"Alzarri Joseph to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Alzarri Joseph,1,80,1,13.1
335983,1,1,13,2,Shivam Dube,Alzarri Joseph,NA,1,0,1,1,0,,NA,,,,,1,13,2,"Alzarri Joseph to Shivam Dube, 1 run,",Shivam Dube,Alzarri Joseph,1,81,1,13.2
335983,1,1,13,3,Ruturaj Gaikwad,Alzarri Joseph,NA,1,0,1,1,0,,NA,,,,,1,13,3,"Alzarri Joseph to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Alzarri Joseph,1,82,1,13.3
